"","Transp","Acid","Sweet","Raspb","Sugar","Bites","Hard","Elastic","Sticky"
"0543",13.5,3.45,6.6,6,0.75,10.8,11.1,11.55,9
"0641",13.05,2.85,4.05,4.2,3.15,12.6,12.9,12.6,12.6
"0642",13.2,3.3,5.1,3,1.2,13.5,13.05,12.75,13.2
"0643",13.2,2.25,2.4,2.4,1.95,12.3,12.3,12.3,12.3
"0741",10.95,2.4,0.6,0.6,0.3,14.55,14.7,14.55,14.55
"0742",14.25,12,0.75,0.75,0.6,14.25,14.1,13.8,14.1
"0743",12.45,13.95,13.95,6.3,0.45,13.95,13.2,13.95,14.1
"0841",14.1,0.6,0.75,0.45,0.45,14.1,13.2,1.05,12
"0842",14.55,5.7,4.35,2.1,0.45,13.8,13.8,14.55,13.8
"0843",12.75,0.45,1.35,1.95,0.6,14.85,14.25,14.25,13.8
"0941",14.7,0.6,2.4,1.05,0.15,14.4,14.7,14.4,14.7
"0942",14.7,0.75,1.95,1.05,0.15,14.25,14.4,14.4,14.7
"0943",14.4,1.05,2.1,1.05,0.3,13.95,13.8,13.8,14.85
"0151",2.4,13.5,6.3,1.95,13.8,4.8,4.8,1.8,5.7
"0152",1.2,13.05,5.85,7.35,11.55,3.6,3.3,2.85,5.55
"0153",3.75,11.85,13.65,11.7,12.9,7.2,5.4,4.05,3
"1051",0.3,13.8,1.5,4.65,14.7,0.45,0.45,3.6,3.3
"1052",1.65,14.25,0.75,6.15,14.7,4.05,2.55,7.35,3.6
"1053",0.75,14.4,0.45,5.85,14.55,1.8,1.5,2.25,5.55
"1151",0,13.65,4.2,3.3,14.85,4.05,3,1.5,2.7
"1152",0.15,7.65,13.2,11.1,13.65,3.6,2.1,3.9,3.15
"1153",0.3,7.35,11.55,12.45,13.05,1.05,1.2,2.4,2.25
"0251",1.35,14.85,0.15,9.15,14.4,1.8,1.35,0.45,1.5
"0252",0.15,14.55,2.55,9.9,14.4,2.55,2.7,0.15,0.15
"0253",0.15,14.4,2.85,0.75,14.25,2.7,2.7,0.9,0.75
"0351",1.35,1.2,13.2,12.6,12,4.05,1.05,0.9,1.35
"0352",13.8,13.05,4.2,12.9,12.6,1.5,0.9,0.9,3.15
"0353",3.3,3.45,14.4,13.05,14.55,1.05,1.2,0.75,4.35
"0451",1.05,3,9.6,1.2,13.35,3.6,3,2.25,0.3
"0452",0.45,13.5,1.95,0.75,13.8,1.8,2.85,1.05,0.9
"0453",0.6,14.7,1.05,2.55,14.7,2.1,1.35,1.2,1.8
"0551",1.35,9.6,13.95,14.25,10.5,0.45,0.15,1.95,1.8
"0552",0.75,9.6,13.35,12.15,13.95,0.75,3.45,3,2.85
"0553",0.15,14.85,1.35,3.3,9,5.25,5.1,3,3.6
"0651",1.35,13.5,10.65,7.35,4.95,4.35,12.15,3.45,3.45
"0652",2.1,12.6,10.8,10.65,13.05,3.9,3.9,3.9,3.75
"0653",1.8,11.85,12,10.05,1.65,2.7,1.95,2.7,3
"0751",0.6,13.8,13.65,0.75,14.4,0.6,0.9,0.75,0.6
"0752",0.45,13.65,13.8,0.9,7.35,0.75,0.6,0.9,0.6
"0753",0.6,13.65,13.65,13.65,14.4,0.9,0.75,0.9,0.6
"0851",1.2,14.55,5.4,2.1,14.1,1.05,0.9,1.35,1.35
"0852",0.6,14.55,6,12.45,14.4,1.05,2.55,2.1,1.05
"0853",1.2,14.85,12.6,2.25,13.35,2.85,1.65,8.7,7.35
"0951",0.6,13.65,14.1,12.9,14.25,2.85,2.7,1.95,1.8
"0952",0.6,12.6,13.95,11.1,14.7,2.7,1.8,1.2,0.9
"0953",0.3,12.9,13.35,9.6,14.55,3.15,2.1,1.5,0.9
